pressure	height	temperature	dewpoint	direction	speed	u_wind	v_wind
997.0	33	6.0	4.8	90.0	10.0	-10.0	-6.123233995736766e-16
990.0	92	5.6	4.6	100.0	10.0	-9.84807753012208	1.736481776669303
969.0	270	4.4	3.9	95.0	13.0	-12.950531075192693	1.1330246557195571
944.0	487	3.0	3.0	61.0	21.0	-18.36701384992731	-10.18100202517308
925.0	656	4.0	4.0	35.0	28.0	-16.06014021782929	-22.93625724009177
921.0	691	4.1	4.1	35.0	29.0	-16.633716654180336	-23.75540928438076
909.0	798	4.4	4.4	34.0	28.0	-15.657401297180913	-23.213052031541167
866.0	1192	2.5	2.5	30.0	25.0	-12.499999999999998	-21.65063509461097
850.0	1343	1.8	1.8	20.0	28.0	-9.576564013118723	-26.311393382005434
766.0	2174	-1.9	-1.9	345.0	34.0	8.799847533485703	-32.84147809382832
717.0	2702	-4.3	-4.3	307.0	38.0	30.34814938179714	-22.868970879777823
714.0	2735	-4.4	-4.4	305.0	38.0	31.127777682981687	-21.795904581339748
700.0	2891	-4.9	-4.9	300.0	44.0	38.1051177665153	-22.0
663.0	3317	-5.7	-6.0	300.0	37.0	32.042939940024226	-18.5
629.0	3731	-6.5	-7.0	299.0	44.0	38.483267114133405	-21.331623290838838
565.0	4562	-11.7	-12.2	297.0	57.0	50.78737187873698	-25.877458485154158
561.0	4617	-12.3	-12.6	297.0	58.0	51.67837840292535	-26.331448984893704
520.0	5189	-19.3	-42.3	296.0	68.0	61.11799514834336	-29.80923798165726
500.0	5480	-20.5	-42.5	295.0	73.0	66.16046845367543	-30.85113310707107
494.0	5569	-20.9	-43.9	296.0	75.0	67.40955347243752	-32.877836009180804
458.0	6124	-23.4	-44.6	300.0	84.0	72.74613391789285	-42.0
454.0	6188	-23.7	-44.7	300.0	84.0	72.74613391789285	-42.0
436.0	6482	-25.7	-47.7	298.0	86.0	75.93349298586773	-40.37455439958658
408.0	6959	-28.7	-46.7	296.0	89.0	79.99267012062586	-39.01503206422789
404.0	7029	-29.1	-38.1	295.0	90.0	81.56770083329849	-38.03564355666296
400.0	7100	-29.5	-38.5	295.0	90.0	81.56770083329849	-38.03564355666296
395.0	7189	-30.5	-40.5	295.0	91.0	82.47400862033514	-38.45826181840366
393.0	7226	-30.7	-38.7	295.0	91.0	82.47400862033514	-38.45826181840366
392.0	7244	-30.3	-33.2	295.0	92.0	83.38031640737178	-38.880880080144365
357.0	7904	-33.1	-36.7	297.0	100.0	89.1006524188368	-45.39904997395466
308.0	8919	-41.8	-43.7	300.0	112.0	96.99484522385713	-56.0
300.0	9100	-43.3	-45.0	300.0	110.0	95.26279441628824	-55.0
299.0	9122	-43.5	-45.1	300.0	110.0	95.26279441628824	-55.0
279.0	9583	-47.7	-51.4	300.0	112.0	96.99484522385713	-56.0
272.0	9751	-48.9	-50.7	300.0	112.0	96.99484522385713	-56.0
270.0	9799	-49.5	-52.2	300.0	112.0	96.99484522385713	-56.0
260.0	10045	-50.7	-64.7	300.0	113.0	97.86087062764156	-56.5
